0.411431,
0.279377,
0.274319,
0.267677,
0.26485,
0.264083,
0.263854,
0.263558,
0.263582,
0.263522,
0.263582,
0.263461,
0.263457,
0.263449,
0.263442,
0.263587,
0.263435,
0.263446,
0.26346,
0.263487,
0.263522,
0.263555,
0.263587,
0.263601,
0.263649,
0.263721,
0.263813,
0.263854,
0.263939,
0.264001,
0.264118,
0.264077,
0.264088,
0.264056,
0.264089,
0.263965,
0.263942,
0.263725,
0.26376,
